business_key,business_id,status,effective_from,effective_till,city
9823899,4275,S,'2020-11-06 23:40:33.634',,Warsaw
9794094,4213,F,'2020-10-14 17:08:16.517',,Warsaw
9794677,4214,F,'2020-10-15 00:59:49.050',,Chicago
9791562,4229,T,'2020-10-13 01:01:32.237','2020-10-14 17:46:58.879',Chicago
9793985,4239,S,'2020-10-14 15:14:37.281',,Cracow
9794682,4240,T,'2020-10-14 23:47:12.065','2020-10-28 22:56:15.909',Chicago
9803839,1211,O,'2020-10-22 12:16:38.273','2020-10-24 12:35:54.351',Chicago
9811927,2212,O,'2020-10-28 11:49:46.586','2020-10-30 11:46:38.766',Warsaw
9806751,4257,T,'2020-10-24 17:46:19.734','2020-10-28 18:17:06.106',Warsaw
9807663,4259,S,'2020-10-25 16:05:51.598',,Warsaw
9716675,3832,P,'2020-08-25 13:13:29.237',,Chicago
9787785,4169,O,'2020-10-09 17:47:30.823','2020-10-25 02:26:34.875',Chicago
9781954,4218,T,'2020-10-05 18:51:59.090','2020-10-19 19:04:39.060',Cracow
9798676,4249,T,'2020-10-18 10:41:37.766','2020-11-01 10:24:52.141',Warsaw
9783151,4221,T,'2020-10-06 15:28:55.096','2020-10-20 15:25:29.555',Chicago
9483249,811,P,'2020-05-02 10:53:15.529',,Orlando
9735451,710,P,'2020-09-02 13:32:24.635',,Warsaw
9520363,2385,P,'2020-05-27 13:34:19.865',,Cracow
9502196,2536,P,'2020-05-16 13:35:34.449',,Warsaw
9486834,3213,P,'2020-05-05 19:02:34.690',,Orlando
9834819,3273,O,'2020-11-15 06:55:31.948',,Orlando
9627534,3524,P,'2020-07-17 12:53:45.927',,
9553181,3552,P,'2020-06-12 13:27:06.674',,Orlando
9567261,3652,P,'2020-06-19 19:42:49.303',,Chicago
9827512,3674,P,'2020-11-09 18:16:18.427',,Warsaw
9609649,3678,P,'2020-07-08 23:13:08.554',,Orlando
9836480,3710,P,'2020-11-16 17:58:15.964',,Orlando
9836170,3727,R,'2020-11-16 12:38:36.338',,Warsaw
9828143,3754,L,'2020-11-10 01:42:40.261',,Warsaw
9575038,3756,P,'2020-06-23 19:28:17.155',,Chicago
9608555,3781,P,'2020-07-08 09:09:57.315',,Warsaw
9835699,3830,L,'2020-11-16 01:00:00.027',,Warsaw
9825120,3836,O,'2020-11-08 06:47:57.514',,Warsaw
9725440,3877,F,'2020-08-27 06:00:00.527','2020-11-16 17:18:37.778',Chicago
9836429,3877,P,'2020-11-16 17:18:37.778',,Warsaw
9750890,3949,P,'2020-09-14 16:50:52.935',,Warsaw
9831547,4079,O,'2020-11-12 12:17:50.748','2020-11-16 10:42:40.538',Chicago
9836058,4079,P,'2020-11-16 10:42:40.538',,Warsaw
9833246,4179,O,'2020-11-13 17:52:24.536',,Warsaw
9831428,4204,P,'2020-11-12 10:24:30.053','2020-11-16 11:01:44.572',Cracow
9836070,4204,P,'2020-11-16 11:01:44.572',,Orlando
9836604,4230,P,'2020-11-16 19:22:55.696',,Chicago
9836039,4268,F,'2020-11-16 10:11:14.299',,Orlando
9836327,4269,F,'2020-11-16 15:51:14.381',,Orlando
9836506,4270,F,'2020-11-16 18:06:14.439',,Cracow
9836997,4285,T,'2020-11-17 01:04:47.215',,Warsaw
9320921,796,P,'2020-02-13 11:59:07.064',,Cracow
9487887,3503,P,'2020-05-06 12:57:42.536',,Warsaw
9592316,3710,P,'2020-07-01 01:32:20.623','2020-11-08 06:16:57.434',Warsaw
9824005,3799,R,'2020-11-07 01:15:00.093',,Orlando
9597731,3815,P,'2020-07-02 21:21:52.540',,Warsaw
9783004,3845,P,'2020-10-06 13:20:24.713','2020-11-06 18:04:25.650',Chicago
9790963,3836,P,'2020-10-12 13:31:08.315','2020-11-08 06:47:57.514',Chicago
