ID;Longitude;Latitude;kod.pocztowy;creationDate
1;51.403510;16.178696;59-300;09.07.2020
2;51.028667;17.152780;55-011;31.10.2019
3;51.308723;17.721508;56-500;06.10.2019
4;50.777252;16.299430;58-302;05.09.2020
5;50.902916;15.737179;58-500;06.02.2019
6;50.906590;15.739902;58-506;27.06.2018
7;50.901207;15.734593;58-500;15.02.2021
8;50.904743;15.731821;58-500;03.08.2018
9;50.915390;15.755644;58-500;08.04.2020
10;50.922110;15.756402;58-506;28.05.2020
11;50.911682;15.751538;58-506;14.06.2017
12;50.918797;15.750019;58-506;07.10.2020
13;50.901510;15.750709;58-500;11.05.2020
14;50.898792;15.740886;58-500;12.01.2018
15;51.118660;17.033346;50-250;02.10.2019
16;51.112434;17.012102;53-679;24.09.2017
17;51.113660;17.070717;50-367;20.06.2019
18;51.136295;16.926645;54-115;29.07.2019
19;51.122670;16.992277;54-203;07.03.2019
20;51.116524;17.041704;50-265;17.07.2019
21;51.060207;17.022940;52-210;23.08.2020
22;51.105812;17.031385;50-051;29.07.2019
23;51.125782;17.052294;50-306;08.12.2019
24;51.120613;17.038118;50-241;15.05.2018
25;51.087500;17.039635;50-547;16.01.2020
26;51.075085;17.040540;50-540;22.03.2017
27;51.137040;16.979809;54-153;15.05.2020
28;51.093513;16.999924;53-406;28.12.2018
29;51.072575;16.993488;53-023;01.10.2019
30;51.159027;17.141336;51-215;13.05.2020
31;51.083550;17.053694;50-505;26.04.2017
32;51.110065;17.026142;50-077;12.08.2018
33;51.110790;17.023956;50-079;10.04.2019
34;51.101852;17.026608;50-032;14.06.2019
35;51.065674;17.031958;52-218;01.03.2020
36;51.120155;17.027859;50-210;22.11.2017
37;51.140060;16.853046;54-011;19.10.2018
38;51.126790;17.050785;50-312;17.08.2017
39;51.067646;16.997879;53-030;22.03.2020
40;51.099655;17.040403;50-457;23.04.2019
41;51.088802;17.006422;53-323;23.12.2018
42;51.108020;17.040590;50-159;24.12.2020
43;51.093143;17.036682;50-525;21.02.2018
44;51.088110;17.049314;50-503;31.07.2018
45;51.112000;17.056000;50-379;30.10.2020
46;51.063000;16.992000;53-031;21.12.2020
47;51.110000;17.119000;51-504;01.04.2018
48;51.060690;17.079514;52-115;20.02.2019
49;51.106650;17.031730;50-068;31.03.2021
50;51.111404;17.023350;50-043;15.08.2017
51;51.143120;17.125408;51-354;08.06.2018
52;51.119330;17.042305;50-326;21.01.2019
53;51.113026;16.989126;53-609;15.05.2019
54;51.102394;17.102083;51-646;27.09.2020
55;51.127730;16.961275;54-129;06.08.2020
56;51.101000;17.031000;50-020;12.02.2021
57;51.134983;17.037144;51-118;24.03.2021
58;51.113800;17.060100;50-361;17.11.2018
59;51.101154;16.949753;54-608;10.11.2020
60;51.123497;17.044395;50-234;12.04.2017
61;51.112310;17.031376;50-111;12.07.2020
62;51.103374;17.010746;53-512;01.09.2020
63;51.074684;16.973541;52-433;01.09.2018
64;51.123950;16.950579;54-112;08.09.2018
65;51.133926;16.957441;54-138;04.02.2018
66;51.138573;16.979256;54-153;28.08.2017
67;51.097470;17.054949;50-438;28.10.2018
68;51.116940;17.031347;50-216;04.01.2017
69;51.121280;17.043308;50-326;10.05.2018
70;51.148323;17.042248;51-124;27.10.2019
71;51.087856;17.017384;53-310;04.07.2018
72;51.098984;17.013580;53-519;09.04.2019
73;51.146336;17.113043;51-312;06.05.2017
74;51.114460;17.057579;50-355;16.07.2018
75;51.085396;17.038067;50-566;15.07.2017
76;51.119972;17.031467;50-216;06.02.2018
77;51.119240;17.057695;50-339;13.11.2020
78;51.107784;17.140572;51-507;31.10.2020
79;51.110950;17.033524;50-138;06.10.2019
80;51.108300;17.032526;50-064;19.08.2019
81;51.153280;16.907722;54-063;17.08.2020
82;51.099667;17.007618;53-443;02.05.2019
83;51.172000;16.903000;54-066;23.08.2019
84;51.105340;17.023369;50-046;18.04.2020
85;51.111687;17.058325;50-381;13.07.2017
86;51.123493;17.039839;50-233;27.09.2018
87;51.117490;17.049313;50-333;26.04.2020
88;51.110138;17.027863;50-079;20.03.2019
89;51.077732;16.963339;52-416;02.03.2021
90;51.099926;17.044073;50-442;28.04.2019
91;51.154716;17.044373;51-126;25.04.2019
92;51.119823;17.049402;50-319;03.09.2020
93;51.143074;17.050797;51-147;19.12.2017
94;51.124535;17.053797;50-307;16.09.2019
95;51.145650;16.869293;54-001;20.02.2021
96;51.102486;17.032965;50-011;02.08.2017
97;51.110233;17.062288;50-369;18.12.2020
98;51.106133;17.021587;50-049;23.09.2017
99;51.379993;16.214344;59-300;11.01.2018
100;50.966343;16.348192;58-150;01.01.2019
101;51.043564;16.971200;55-040;25.08.2017
102;51.095318;17.039581;50-528;16.09.2017
103;51.109710;17.023422;50-073;10.10.2017
104;51.140327;17.033537;51-124;06.03.2017
105;51.079480;17.039990;50-539;26.11.2017
106;51.064000;16.980000;52-314;17.01.2020
107;51.126040;16.968842;54-129;16.05.2020
108;51.140224;17.028067;51-114;28.12.2017
109;51.136370;17.023401;51-112;04.12.2018
110;51.082832;17.006851;53-145;19.06.2017
111;51.109596;17.099913;51-675;24.01.2020
112;51.079834;17.046638;50-555;08.12.2019
113;51.096497;16.947586;54-435;21.01.2020
114;51.055960;17.012524;52-204;08.08.2018
115;51.118360;17.037266;50-258;26.01.2021
116;51.101753;17.042082;50-454;14.08.2019
117;51.108425;17.026562;50-075;18.12.2019
118;51.108627;17.033716;50-123;03.11.2020
119;51.146477;16.948462;54-107;17.11.2018
120;51.072815;17.088755;52-013;03.02.2017
121;51.100000;16.952000;54-614;26.02.2021
122;51.120080;17.011286;53-632;26.09.2020
123;51.157130;14.995463;59-900;01.08.2020
124;51.099660;17.050573;50-452;16.03.2017
