service_key;service_variant_price
99;299.00
125;99.00
340;15.00
341;15.00
342;15.00
343;15.00
344;15.00
345;15.00
346;15.00
347;15.00
348;15.00
349;15.00
350;15.00
351;15.00
352;15.00
353;15.00
354;15.00
355;15.00
356;15.00
357;15.00
375;14.00
376;14.00
377;14.00
378;14.00
379;14.00
380;14.00
381;14.00
382;14.00
383;14.00
384;14.00
385;14.00
386;14.00
387;14.00
401;13.00
402;13.00
403;13.00
404;13.00
405;13.00
406;13.00
407;13.00
408;13.00
409;13.00
410;13.00
411;13.00
412;13.00
413;13.00
414;13.00
429;13.00
430;13.00
431;13.00
432;13.00
433;13.00
434;13.00
435;13.00
436;13.00
437;13.00
438;13.00
439;13.00
440;13.00
478;10.00
479;10.00
480;10.00
481;10.00
482;10.00
483;10.00
484;10.00
485;10.00
486;10.00
487;10.00
488;10.00
489;10.00
490;10.00
491;10.00
492;10.00
493;10.00
494;10.00
507;15.00
508;15.00
538;24.00
567;8.00
568;8.00
569;8.00
570;12.00
581;25.00
582;25.00
583;25.00
595;7.00
596;5.00
597;5.00
598;5.00
599;7.00
600;5.00
601;5.00
602;5.00
603;5.00
617;4.00
618;4.00
619;4.00
620;4.00
621;4.00
633;18.00
634;18.00
648;13.00
661;21.00
671;18.00
681;12.00
682;12.00
694;19.00
707;18.00
719;11.00
732;8.00
743;16.00
754;15.00
765;11.00
777;12.00
778;12.00
789;8.00
800;3.00
811;15.00
828;5.00
841;12.00
855;12.00
868;15.00
869;15.00
870;15.00
943;15.00
944;13.50
967;12.00
968;12.00
979;12.00
980;12.00
990;14.00
1006;9.00
1019;99.00
1137;30.00
1138;25.00
1150;40.00
1176;15.00
1293;30.00
1321;10.00
1322;10.00
1336;15.00
1368;18.00
1383;25.00
1408;25.00
1424;35.00
1444;15.00
1471;20.00
1495;15.00
1514;10.00
1535;25.00
1554;25.00
1567;30.00
1583;25.00
1598;15.00
1615;15.00
1630;8.00
1648;35.00
1663;
1679;50.00
1693;
1708;40.00
1724;50.00
1741;70.00
1765;70.00
1780;25.00
1793;50.00
1841;16.00
1856;
1873;
1887;99.00
1901;50.00
1915;18.00
1929;30.00
1943;30.00
1965;50.00
1980;35.00
1997;10.00
2018;15.00
2046;10.00
2091;15.00
2111;10.00
2137;15.00
2165;10.00
2188;10.00
2202;30.00
2222;30.00
2242;5.00
2268;65.00
2293;85.00
2310;55.00
2324;65.00
2338;70.00
2360;75.00
2373;12.00
2392;45.00
2412;35.00
2426;22.00
2440;65.00
2455;99.00
2469;40.00
2483;20.00
2504;35.00
2523;15.00
2541;65.00
2559;18.00
2560;18.00
2573;20.00
2588;40.00
2603;25.00
2622;55.00
2641;65.00
2656;75.00
2672;90.00
2691;60.00
2708;40.00
2723;80.00
2739;25.00
2751;40.00
2765;30.00
2780;30.00
2794;80.00
2811;55.00
2826;30.00
2839;110.00
2854;75.00
2868;45.00
2883;45.00
2898;60.00
2911;50.00
2954;25.00
2974;40.00
2993;15.00
3010;25.00
3023;35.00
3037;25.00
3050;30.00
3061;40.00
3076;30.00
3089;25.00
3101;15.00
3113;30.00
3125;20.00
3135;15.00
3144;18.00
3156;25.00
3169;35.00
3195;15.00
3226;20.00
3252;40.00
3274;30.00
3289;10.00
3300;10.00
3318;15.00
3337;15.00
3345;10.00
3358;10.00
3371;30.00
3387;20.00
3406;25.00
3421;30.00
3450;35.00
3466;35.00
3482;80.00
3483;80.00
3496;10.00
3508;5.00
3520;13.00
3534;35.00
3546;25.00
3561;10.00
3576;89.00
3591;139.00
3605;149.00
3619;25.00
3633;15.00
3647;70.00
3661;55.00
3674;50.00
3686;10.00
3698;20.00
3714;15.00
3740;30.00
3754;25.00
3769;15.00
3790;20.00
3810;40.00
3829;30.00
3847;70.00
3861;8.00
3874;40.00
3889;60.00
3903;80.00
3915;25.00
3927;100.00
3941;80.00
3953;120.00
3963;40.00
3971;45.00
3983;40.00
3997;30.00
4015;40.00
4035;25.00
4057;10.00
4070;30.00
4079;5.00
4097;20.00
4117;30.00
4134;15.00
4144;20.00
4155;40.00
4167;50.00
4177;36.00
4188;30.00
4198;130.00
4209;15.00
4227;10.00
4241;7.00
4261;99.00
4262;99.00
4277;99.00
4289;5.00
4299;55.00
4311;22.00
4320;40.00
4330;50.00
4339;25.00
4349;550.00
4362;15.00
4375;20.00
4387;20.00
4400;50.00
4411;250.00
4425;200.00
4435;50.00
4477;30.00
4504;20.00
4505;25.00
4517;15.00
4529;60.00
4540;25.00
4541;25.00
4554;15.00
4571;7.00
4572;7.00
4573;7.00
4574;7.00
4575;5.00
4588;7.00
4589;7.00
4590;5.00
4591;7.00
4605;10.00
4606;10.00
4607;10.00
4608;10.00
4609;10.00
4610;10.00
4611;10.00
4612;7.00
4624;8.00
4625;10.00
4626;10.00
4627;10.00
4640;10.00
4641;20.00
4642;20.00
4643;15.00
4644;20.00
4645;15.00
4646;20.00
4647;20.00
4648;20.00
4649;15.00
4650;15.00
4651;10.00
4652;20.00
4653;20.00
4654;20.00
4655;20.00
4656;15.00
4657;20.00
4658;20.00
4659;20.00
4673;25.00
4674;20.00
4685;22.00
4686;19.00
4687;27.00
4688;27.00
4689;22.00
4690;19.00
4691;22.00
4692;19.00
4693;22.00
4694;17.00
4695;22.00
4696;30.00
4697;22.00
4698;19.00
4699;17.00
4700;19.00
4701;19.00
4702;27.00
4703;22.00
4704;22.00
4705;19.00
4706;22.00
4707;22.00
4708;22.00
4709;19.00
4710;27.00
4711;19.00
4712;27.00
4713;27.00
4714;22.00
4715;22.00
4716;22.00
4730;19.00
4731;19.00
4732;17.00
4733;17.00
4734;17.00
4735;15.00
4736;15.00
4737;17.00
4738;19.00
4739;19.00
4740;19.00
4741;19.00
4742;17.00
4743;19.00
4744;19.00
4745;19.00
4746;19.00
4747;19.00
4748;17.00
4749;19.00
4750;17.00
4751;17.00
4752;17.00
4753;19.00
4754;19.00
4755;17.00
4756;17.00
4767;14.00
4768;14.00
4769;14.00
4770;14.00
4771;14.00
4772;14.00
4773;14.00
4774;12.00
4775;14.00
4776;14.00
4777;14.00
4778;14.00
4779;14.00
4780;14.00
4781;14.00
4782;14.00
4783;14.00
4784;14.00
4785;14.00
4786;14.00
4787;14.00
4788;14.00
4808;12.00
4809;12.00
4810;12.00
4811;12.00
4812;12.00
4813;12.00
4814;10.00
4815;10.00
4816;12.00
4817;12.00
4818;12.00
4841;15.00
4842;15.00
4843;17.00
4844;17.00
4845;17.00
4846;17.00
4847;17.00
4848;17.00
4849;17.00
4850;17.00
4851;15.00
4852;15.00
4853;17.00
4854;17.00
4855;17.00
4856;17.00
4857;17.00
4858;17.00
4859;17.00
4860;17.00
4861;15.00
4862;13.00
4863;13.00
4864;15.00
4865;15.00
4866;15.00
4867;15.00
4895;21.00
4896;21.00
4897;21.00
4898;21.00
4899;19.00
4900;19.00
4912;18.00
4913;22.00
4914;22.00
4915;22.00
4929;22.00
4930;22.00
4931;22.00
4932;18.00
4947;20.00
4948;20.00
4949;20.00
4950;16.00
4951;20.00
4952;20.00
4968;16.00
4982;20.00
4983;16.00
4984;20.00
4985;20.00
5006;16.00
5021;22.00
5022;26.00
5023;20.00
5024;22.00
5025;26.00
5026;26.00
5027;26.00
5028;26.00
5029;26.00
5030;26.00
5031;26.00
5032;22.00
5033;26.00
5034;26.00
5035;26.00
5036;26.00
5037;22.00
5038;22.00
5039;22.00
5040;22.00
5041;26.00
5042;26.00
5053;20.00
5054;22.00
5055;22.00
5068;13.00
5069;13.00
5081;26.00
5082;22.00
5083;22.00
5084;22.00
5085;26.00
5086;26.00
5087;20.00
5088;26.00
5089;22.00
5090;22.00
5091;22.00
5092;26.00
5093;26.00
5094;26.00
5095;26.00
5096;26.00
5097;26.00
5098;26.00
5099;26.00
5100;26.00
5101;22.00
5102;26.00
5147;125.00
5161;
5174;
5185;50.00
5199;30.00
5216;30.00
5228;20.00
5238;70.00
5239;70.00
5250;25.00
5260;55.00
5271;55.00
5284;10.00
5294;13.00
5306;15.00
5320;
5331;15.00
5346;26.00
5361;45.00
5374;45.00
5389;99.00
5403;95.00
5419;110.00
5444;140.00
5459;90.00
5474;99.00
5494;110.00
5522;135.00
5539;125.00
5550;120.00
5563;200.00
5574;150.00
5586;70.00
5688;99.00
5698;25.00
5708;30.00
5721;70.00
5733;55.00
5748;80.00
5765;50.00
5778;35.00
5788;280.00
5834;18.00
5799;20.00
5800;20.00
5801;16.00
5802;16.00
5803;16.00
5804;16.00
5805;20.00
5806;16.00
5807;20.00
5808;24.00
5809;24.00
5810;24.00
5811;24.00
5812;20.00
5813;20.00
5814;16.00
5815;20.00
5816;20.00
5817;24.00
5818;24.00
5819;20.00
5831;18.00
5832;18.00
5833;18.00
5847;30.00
5848;23.00
5849;23.00
5850;30.00
5851;23.00
5852;30.00
5853;23.00
5854;23.00
5855;23.00
5856;30.00
5870;10.00
5871;10.00
5872;12.00
5873;5.00
5874;12.00
5875;5.00
5876;10.00
5877;10.00
5878;5.00
5879;5.00
5880;12.00
5881;5.00
5882;5.00
