ID,Longitude,Latitude,kod.pocztowy,creationDate,year,geom,miasto,powiat,woj,dzielnica,sklep
1,51.40351,16.178696,59-300,2020-07-09,2020,"51.40351,16.178696",Lubin,powiat lubiński,województwo dolnośląskie,Stary Lubin,Żabka
2,51.028667,17.15278,55-011,2019-10-31,2019,"51.028667,17.15278",Siechnice,powiat wrocławski,województwo dolnośląskie,,
3,51.308723,17.721508,56-500,2019-10-06,2019,"51.308723,17.721508",Syców,powiat oleśnicki,województwo dolnośląskie,,
4,50.777252,16.29943,58-302,2020-09-05,2020,"50.777252,16.29943",,,województwo dolnośląskie,Stary Zdrój,Czerwona Torebka
5,50.902916,15.737179,58-500,2019-02-06,2019,"50.902916,15.737179",,,województwo dolnośląskie,,
6,50.90659,15.739902,58-506,2018-06-27,2018,"50.90659,15.739902",,,województwo dolnośląskie,,
7,50.901207,15.734593,58-500,2021-02-15,2021,"50.901207,15.734593",,,województwo dolnośląskie,,
8,50.904743,15.731821,58-500,2018-08-03,2018,"50.904743,15.731821",,,województwo dolnośląskie,,
9,50.91539,15.755644,58-500,2020-04-08,2020,"50.91539,15.755644",,,województwo dolnośląskie,Zabobrze,
10,50.92211,15.756402,58-506,2020-05-28,2020,"50.92211,15.756402",,,województwo dolnośląskie,Zabobrze,
11,50.911682,15.751538,58-506,2017-06-14,2017,"50.911682,15.751538",,,województwo dolnośląskie,Zabobrze,
12,50.918797,15.750019,58-506,2020-10-07,2020,"50.918797,15.750019",,,województwo dolnośląskie,Zabobrze,
13,50.90151,15.750709,58-500,2020-05-11,2020,"50.90151,15.750709",,,województwo dolnośląskie,,
14,50.898792,15.740886,58-500,2018-01-12,2018,"50.898792,15.740886",,,województwo dolnośląskie,,
15,51.11866,17.033346,50-250,2019-10-02,2019,"51.11866,17.033346",,,województwo dolnośląskie,Osiedle Nadodrze,
16,51.112434,17.012102,53-679,2017-09-24,2017,"51.112434,17.012102",,,województwo dolnośląskie,Szczepin,
17,51.11366,17.070717,50-367,2019-06-20,2019,"51.11366,17.070717",,,województwo dolnośląskie,Osiedle Plac Grunwaldzki,
18,51.136295,16.926645,54-115,2019-07-29,2019,"51.136295,16.926645",,,województwo dolnośląskie,Osiedle Leśnica,
19,51.12267,16.992277,54-203,2019-03-07,2019,"51.12267,16.992277",,,województwo dolnośląskie,Popowice,
20,51.116524,17.041704,50-265,2019-07-17,2019,"51.116524,17.041704",,,województwo dolnośląskie,Osiedle Stare Miasto,
21,51.060207,17.02294,52-210,2020-08-23,2020,"51.060207,17.02294",,,województwo dolnośląskie,Ołtaszyn,Żabka
22,51.105812,17.031385,50-051,2019-07-29,2019,"51.105812,17.031385",,,województwo dolnośląskie,Osiedle Stare Miasto,
23,51.125782,17.052294,50-306,2019-12-08,2019,"51.125782,17.052294",,,województwo dolnośląskie,Ołbin,Żabka
24,51.120613,17.038118,50-241,2018-05-15,2018,"51.120613,17.038118",,,województwo dolnośląskie,Osiedle Nadodrze,
25,51.0875,17.039635,50-547,2020-01-16,2020,"51.0875,17.039635",,,województwo dolnośląskie,Osiedle Huby,Żabka
26,51.075085,17.04054,50-540,2017-03-22,2017,"51.075085,17.04054",,,województwo dolnośląskie,Osiedle Gaj,Żabka
27,51.13704,16.979809,54-153,2020-05-15,2020,"51.13704,16.979809",,,województwo dolnośląskie,Kozanów,
28,51.093513,16.999924,53-406,2018-12-28,2018,"51.093513,16.999924",,,województwo dolnośląskie,Gajowice,
29,51.072575,16.993488,53-023,2019-10-01,2019,"51.072575,16.993488",,,województwo dolnośląskie,Krzyki,
30,51.159027,17.141336,51-215,2020-05-13,2020,"51.159027,17.141336",,,województwo dolnośląskie,Zakrzów,
31,51.08355,17.053694,50-505,2017-04-26,2017,"51.08355,17.053694",,,województwo dolnośląskie,Tarnogaj,
32,51.110065,17.026142,50-077,2018-08-12,2018,"51.110065,17.026142",,,województwo dolnośląskie,Osiedle Stare Miasto,
33,51.11079,17.023956,50-079,2019-04-10,2019,"51.11079,17.023956",,,województwo dolnośląskie,Osiedle Stare Miasto,
34,51.101852,17.026608,50-032,2019-06-14,2019,"51.101852,17.026608",,,województwo dolnośląskie,Przedmieście Świdnickie,Żabka
35,51.065674,17.031958,52-218,2020-03-01,2020,"51.065674,17.031958",,,województwo dolnośląskie,Wojszyce,
36,51.120155,17.027859,50-210,2017-11-22,2017,"51.120155,17.027859",,,województwo dolnośląskie,Osiedle Nadodrze,
37,51.14006,16.853046,54-011,2018-10-19,2018,"51.14006,16.853046",,,województwo dolnośląskie,Osiedle Leśnica,
38,51.12679,17.050785,50-312,2017-08-17,2017,"51.12679,17.050785",,,województwo dolnośląskie,Ołbin,
39,51.067646,16.997879,53-030,2020-03-22,2020,"51.067646,16.997879",,,województwo dolnośląskie,Krzyki,
40,51.099655,17.040403,50-457,2019-04-23,2019,"51.099655,17.040403",,,województwo dolnośląskie,Przedmieście Oławskie,
41,51.088802,17.006422,53-323,2018-12-23,2018,"51.088802,17.006422",,,województwo dolnośląskie,Gajowice,
42,51.10802,17.04059,50-159,2020-12-24,2020,"51.10802,17.04059",,,województwo dolnośląskie,Osiedle Stare Miasto,Galeria Dominikańska
43,51.093143,17.036682,50-525,2018-02-21,2018,"51.093143,17.036682",,,województwo dolnośląskie,Osiedle Huby,
44,51.08811,17.049314,50-503,2018-07-31,2018,"51.08811,17.049314",,,województwo dolnośląskie,Tarnogaj,
45,51.112,17.056,50-379,2020-10-30,2020,"51.112,17.056",,,województwo dolnośląskie,Osiedle Plac Grunwaldzki,
46,51.063,16.992,53-031,2020-12-21,2020,"51.063,16.992",,,województwo dolnośląskie,Partynice,
47,51.11,17.119,51-504,2018-04-01,2018,"51.11,17.119",,,województwo dolnośląskie,Swojczyce,
48,51.06069,17.079514,52-115,2019-02-20,2019,"51.06069,17.079514",,,województwo dolnośląskie,Brochów,
49,51.10665,17.03173,50-068,2021-03-31,2021,"51.10665,17.03173",,,województwo dolnośląskie,Osiedle Stare Miasto,
50,51.111404,17.02335,50-043,2017-08-15,2017,"51.111404,17.02335",,,województwo dolnośląskie,Osiedle Stare Miasto,
51,51.14312,17.125408,51-354,2018-06-08,2018,"51.14312,17.125408",,,województwo dolnośląskie,Zgorzelisko,
52,51.11933,17.042305,50-326,2019-01-21,2019,"51.11933,17.042305",,,województwo dolnośląskie,Ołbin,
53,51.113026,16.989126,53-609,2019-05-15,2019,"51.113026,16.989126",,,województwo dolnośląskie,Muchobór Mały,Żabka
54,51.102394,17.102083,51-646,2020-09-27,2020,"51.102394,17.102083",,,województwo dolnośląskie,Biskupin,
55,51.12773,16.961275,54-129,2020-08-06,2020,"51.12773,16.961275",,,województwo dolnośląskie,Gądów,
56,51.101,17.031,50-020,2021-02-12,2021,"51.101,17.031",,,województwo dolnośląskie,Przedmieście Świdnickie,
57,51.134983,17.037144,51-118,2021-03-24,2021,"51.134983,17.037144",,,województwo dolnośląskie,Karłowice,
58,51.1138,17.0601,50-361,2018-11-17,2018,"51.1138,17.0601",,,województwo dolnośląskie,Osiedle Plac Grunwaldzki,
59,51.101154,16.949753,54-608,2020-11-10,2020,"51.101154,16.949753",,,województwo dolnośląskie,Osiedle Muchobór Wielki,Żabka
60,51.123497,17.044395,50-234,2017-04-12,2017,"51.123497,17.044395",,,województwo dolnośląskie,Osiedle Nadodrze,Vape Club
61,51.11231,17.031376,50-111,2020-07-12,2020,"51.11231,17.031376",,,województwo dolnośląskie,Osiedle Stare Miasto,
62,51.103374,17.010746,53-512,2020-09-01,2020,"51.103374,17.010746",,,województwo dolnośląskie,Przedmieście Świdnickie,
63,51.074684,16.973541,52-433,2018-09-01,2018,"51.074684,16.973541",,,województwo dolnośląskie,Oporów,
64,51.12395,16.950579,54-112,2018-09-08,2018,"51.12395,16.950579",,,województwo dolnośląskie,Gądów,Żabka
65,51.133926,16.957441,54-138,2018-02-04,2018,"51.133926,16.957441",,,województwo dolnośląskie,Pilczyce,Żabka
66,51.138573,16.979256,54-153,2017-08-28,2017,"51.138573,16.979256",,,województwo dolnośląskie,Kozanów,Żabka
67,51.09747,17.054949,50-438,2018-10-28,2018,"51.09747,17.054949",,,województwo dolnośląskie,Przedmieście Oławskie,
68,51.11694,17.031347,50-216,2017-01-04,2017,"51.11694,17.031347",,,województwo dolnośląskie,Osiedle Nadodrze,
69,51.12128,17.043308,50-326,2018-05-10,2018,"51.12128,17.043308",,,województwo dolnośląskie,Ołbin,
70,51.148323,17.042248,51-124,2019-10-27,2019,"51.148323,17.042248",,,województwo dolnośląskie,Karłowice,Żabka
71,51.087856,17.017384,53-310,2018-07-04,2018,"51.087856,17.017384",,,województwo dolnośląskie,Powstańców Śląskich,Żabka
72,51.098984,17.01358,53-519,2019-04-09,2019,"51.098984,17.01358",,,województwo dolnośląskie,Przedmieście Świdnickie,
73,51.146336,17.113043,51-312,2017-05-06,2017,"51.146336,17.113043",,,województwo dolnośląskie,Psie Pole,
74,51.11446,17.057579,50-355,2018-07-16,2018,"51.11446,17.057579",,,województwo dolnośląskie,Osiedle Plac Grunwaldzki,
75,51.085396,17.038067,50-566,2017-07-15,2017,"51.085396,17.038067",,,województwo dolnośląskie,Osiedle Huby,Żabka
76,51.119972,17.031467,50-216,2018-02-06,2018,"51.119972,17.031467",,,województwo dolnośląskie,Osiedle Nadodrze,
77,51.11924,17.057695,50-339,2020-11-13,2020,"51.11924,17.057695",,,województwo dolnośląskie,Ołbin,
78,51.107784,17.140572,51-507,2020-10-31,2020,"51.107784,17.140572",,,województwo dolnośląskie,Strachocin,
79,51.11095,17.033524,50-138,2019-10-06,2019,"51.11095,17.033524",,,województwo dolnośląskie,Osiedle Stare Miasto,
80,51.1083,17.032526,50-064,2019-08-19,2019,"51.1083,17.032526",,,województwo dolnośląskie,Osiedle Stare Miasto,
81,51.15328,16.907722,54-063,2020-08-17,2020,"51.15328,16.907722",,,województwo dolnośląskie,Osiedle Leśnica,Żabka
82,51.099667,17.007618,53-443,2019-05-02,2019,"51.099667,17.007618",,,województwo dolnośląskie,Gajowice,
83,51.172,16.903,54-066,2019-08-23,2019,"51.172,16.903",,,województwo dolnośląskie,Pracze Odrzańskie,
84,51.10534,17.023369,50-046,2020-04-18,2020,"51.10534,17.023369",,,województwo dolnośląskie,Przedmieście Świdnickie,
85,51.111687,17.058325,50-381,2017-07-13,2017,"51.111687,17.058325",,,województwo dolnośląskie,Osiedle Plac Grunwaldzki,
86,51.123493,17.039839,50-233,2018-09-27,2018,"51.123493,17.039839",,,województwo dolnośląskie,Osiedle Nadodrze,
87,51.11749,17.049313,50-333,2020-04-26,2020,"51.11749,17.049313",,,województwo dolnośląskie,Ołbin,
88,51.110138,17.027863,50-079,2019-03-20,2019,"51.110138,17.027863",,,województwo dolnośląskie,Osiedle Stare Miasto,
89,51.077732,16.963339,52-416,2021-03-02,2021,"51.077732,16.963339",,,województwo dolnośląskie,Oporów,Hert
90,51.099926,17.044073,50-442,2019-04-28,2019,"51.099926,17.044073",,,województwo dolnośląskie,Przedmieście Oławskie,
91,51.154716,17.044373,51-126,2019-04-25,2019,"51.154716,17.044373",,,województwo dolnośląskie,Karłowice,Żabka
92,51.119823,17.049402,50-319,2020-09-03,2020,"51.119823,17.049402",,,województwo dolnośląskie,Ołbin,
93,51.143074,17.050797,51-147,2017-12-19,2017,"51.143074,17.050797",,,województwo dolnośląskie,Karłowice,
94,51.124535,17.053797,50-307,2019-09-16,2019,"51.124535,17.053797",,,województwo dolnośląskie,Ołbin,
95,51.14565,16.869293,54-001,2021-02-20,2021,"51.14565,16.869293",,,województwo dolnośląskie,Osiedle Leśnica,
96,51.102486,17.032965,50-011,2017-08-02,2017,"51.102486,17.032965",,,województwo dolnośląskie,Przedmieście Świdnickie,Omerta
97,51.110233,17.062288,50-369,2020-12-18,2020,"51.110233,17.062288",,,województwo dolnośląskie,Osiedle Plac Grunwaldzki,
98,51.106133,17.021587,50-049,2017-09-23,2017,"51.106133,17.021587",,,województwo dolnośląskie,Przedmieście Świdnickie,
99,51.379993,16.214344,59-300,2018-01-11,2018,"51.379993,16.214344",Lubin,powiat lubiński,województwo dolnośląskie,,
100,50.966343,16.348192,58-150,2019-01-01,2019,"50.966343,16.348192",Strzegom,powiat świdnicki,województwo dolnośląskie,,
101,51.043564,16.9712,55-040,2017-08-25,2017,"51.043564,16.9712",,powiat wrocławski,województwo dolnośląskie,,
